,User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
40,15469030,0,68,171,80,22,95,40.5,136
41,15048071,0,57,184,91,7,95,39.2,41
42,12598637,0,40,201,98,24,110,40.7,179
43,11790318,0,23,189,87,23,110,40.0,147
44,11756583,0,43,183,88,26,107,40.7,180
45,16417986,0,74,201,107,14,96,40.1,101
46,19521409,0,21,195,93,6,93,39.2,23
47,15862346,0,50,190,96,3,80,38.3,10
48,12234447,0,39,175,74,9,93,39.5,39
49,14624633,0,57,169,81,30,112,40.9,247
50,17636190,0,34,181,83,25,102,40.9,141
51,19087162,0,21,188,90,29,110,40.8,185
52,13616455,0,21,189,91,27,114,41.0,189
53,19118405,0,50,171,74,2,82,38.1,6
54,16572590,0,22,194,92,6,92,39.0,23
55,15483091,0,38,188,93,28,104,40.9,178
56,10006441,0,23,169,73,25,102,40.7,122
57,17564519,0,79,176,86,20,102,40.1,158
58,15444304,0,67,201,96,18,105,40.5,143
59,14339451,0,21,186,79,29,111,41.0,182
60,17268858,0,79,179,91,27,107,40.4,236
61,13816658,0,51,192,96,19,97,40.6,114
62,13672975,0,49,184,86,26,103,40.8,171
63,16361679,0,46,179,84,6,82,39.2,19
64,19341462,0,31,172,76,9,94,39.7,37
65,14117537,0,42,185,78,26,110,41.4,185
66,10661999,0,52,189,90,22,96,40.5,127
67,10366046,0,59,166,73,23,101,40.4,149
68,11523134,0,23,169,71,16,102,40.1,78
69,19686449,0,20,188,84,27,104,41.0,143
70,10154011,0,60,182,90,11,90,40.2,58
71,10228092,0,40,184,87,5,88,39.5,20
72,18997284,0,26,191,93,17,96,40.3,78
73,15883541,0,25,158,58,6,90,39.2,17
74,17046329,0,25,181,81,23,101,40.8,115
75,16655537,0,23,198,100,12,90,40.4,44
76,17219988,0,43,171,79,30,115,40.8,239
77,18360844,0,24,179,80,14,90,40.7,46
78,17118372,0,24,191,95,6,88,39.3,20
79,14181557,0,49,183,89,25,111,40.8,196
80,17152651,0,36,185,91,2,91,38.1,9
81,19445771,0,31,179,77,24,97,40.8,111
82,11294536,0,50,182,86,17,101,40.3,108
83,12845462,0,36,202,109,6,87,39.1,24
84,12301038,0,41,178,76,28,104,40.8,172
85,18976127,0,41,172,71,7,87,39.5,24
86,11460469,0,24,178,77,19,98,40.1,84
87,11084582,0,25,179,78,17,101,40.3,84
88,12327773,0,68,191,98,22,99,41.0,157
89,12038545,0,24,181,91,14,97,40.4,64
90,17593004,0,38,192,92,21,104,40.6,133
91,10753818,0,64,178,83,24,103,41.0,174
92,19795364,0,27,180,86,24,107,40.7,147
93,14290814,0,66,171,72,18,105,40.5,133
94,19222644,0,39,199,104,26,101,40.7,161
95,11986136,0,76,187,96,12,96,40.1,85
96,11830053,0,60,193,90,15,95,40.0,90
97,14737350,0,54,188,90,23,108,40.9,176
98,15501381,0,72,197,102,25,106,40.9,212
99,16736138,0,32,171,78,29,112,40.9,201
100,17497515,0,65,204,103,14,93,40.1,87
101,10483147,0,42,180,84,2,80,38.6,5
102,18046507,0,34,191,94,29,109,40.9,201
103,12414011,0,34,181,78,3,86,38.2,9
104,10710546,0,26,191,86,8,83,39.3,20
105,16175343,0,31,203,105,29,113,40.8,221
106,13611443,0,34,185,93,20,99,40.3,108
107,16383525,0,63,204,112,29,110,40.4,257
108,17841776,0,44,194,87,27,108,40.8,192
109,10735479,0,36,190,96,17,90,40.3,72
110,13117699,0,41,173,71,28,104,41.2,169
111,16042685,0,73,168,77,18,97,40.3,120
112,10315558,0,31,186,85,28,106,40.8,172
113,12304455,0,22,179,73,10,84,39.9,21
114,13885247,0,33,190,97,24,100,40.8,134
115,19911268,0,45,195,99,2,83,37.9,7
116,15376017,0,47,198,97,7,91,39.3,34
117,10590765,0,63,200,105,15,102,40.3,113
118,18148848,0,38,189,91,24,100,40.5,137
119,13172849,0,20,183,81,17,97,40.5,71
120,14857446,0,24,188,90,14,103,40.1,76
121,12734403,0,30,197,103,27,109,40.5,187
122,18119523,0,33,200,101,17,98,40.5,91
123,10677750,0,75,187,97,7,84,39.1,36
124,17724752,0,56,184,93,13,97,39.9,80
125,18908393,0,24,183,80,27,116,40.6,195
126,10854360,0,49,193,100,22,99,40.5,138
127,15539064,0,67,171,75,19,97,40.5,120
128,14130669,0,23,182,81,30,112,41.0,197
129,15015988,0,37,192,95,21,98,40.7,114
130,13015812,0,34,185,83,23,97,40.8,112
131,13286573,0,49,194,101,16,103,40.4,110
132,18976105,0,42,195,95,17,105,40.2,115
133,14714345,0,52,188,93,21,107,40.6,157
134,10074404,0,72,172,82,19,107,40.5,156
135,16366307,0,34,195,92,10,91,39.9,42
136,18521428,0,33,188,92,19,98,40.4,99
137,10207737,0,56,192,97,20,109,40.5,161
138,14920065,0,60,184,86,27,105,41.0,200
139,10809847,0,39,162,72,28,108,40.7,183
140,12363678,0,48,175,75,19,110,40.7,140
141,15862195,0,54,190,95,22,110,40.3,178
142,12555008,0,23,195,89,27,104,41.0,150
143,19113986,0,47,179,79,6,74,39.3,12
144,15831321,0,41,179,85,25,101,40.8,147
145,14142930,0,62,193,100,8,90,39.4,44
146,11390035,0,20,178,80,9,84,39.4,20
147,17847428,0,51,189,95,30,112,41.0,247
148,18908334,0,78,177,86,23,100,40.8,173
149,10082523,0,74,205,112,6,83,39.0,32
150,17438788,0,41,172,75,8,88,39.7,30
151,13632419,0,25,185,89,27,104,40.8,152
152,12432246,0,31,184,89,15,105,39.9,91
153,19984594,0,20,186,90,4,83,38.8,9
154,11102823,0,60,208,105,26,110,40.6,223
155,11337714,0,36,191,93,16,97,40.0,83
156,10201123,0,36,193,95,10,97,40.0,52
157,11312954,0,48,181,80,27,105,40.6,181
158,10331021,0,21,205,103,7,88,39.6,23
159,10566369,0,20,187,86,23,100,40.3,109
160,19286727,0,57,169,72,8,84,39.7,30
161,18971121,0,34,184,85,19,109,40.4,128
162,16784301,0,52,189,92,23,97,40.7,137
163,15158798,0,70,194,91,28,103,40.8,216
164,16649627,0,73,198,101,18,97,40.7,129
165,16205668,0,47,195,99,11,88,39.8,50
166,10485469,0,22,165,67,27,119,40.4,197
167,13340241,0,67,173,78,4,95,38.7,24
168,11983925,0,37,200,100,12,91,40.1,54
169,11222672,0,21,184,78,19,100,40.5,88
170,17862213,0,40,190,97,7,83,39.5,24
171,17551112,0,41,192,99,22,98,40.5,126
172,17567644,0,56,184,88,5,89,39.5,24
173,18452221,0,28,192,92,7,92,39.5,28
174,15176055,0,22,191,88,10,90,39.7,34
175,10836299,0,76,195,93,23,96,40.5,161
176,14734299,0,73,175,76,4,86,38.9,20
177,10567350,0,39,191,86,23,97,40.6,119
178,12431875,0,26,182,84,5,81,39.1,11
179,18290984,0,21,183,83,23,104,40.5,122
180,15295331,0,49,181,79,29,108,40.7,208
181,13302612,0,27,178,83,19,102,41.0,101
182,14255616,0,46,194,91,14,91,40.0,66
183,12824130,0,58,197,98,14,102,40.1,100
184,12481603,0,27,172,77,13,101,39.9,65
185,17977871,0,29,176,76,13,91,39.8,47
186,10164017,0,39,197,96,3,78,38.6,8
187,11627255,0,32,183,83,21,97,40.4,101
188,14132143,0,21,202,98,21,108,40.5,131
189,14971780,0,35,200,99,24,104,40.6,152
190,16691239,0,45,191,95,28,105,41.0,193
191,15563989,0,32,176,83,10,99,39.7,51
192,10679574,0,39,178,80,25,105,40.7,157
193,19596964,0,56,186,93,14,91,40.0,74
194,18120047,0,71,185,96,5,85,39.1,26
195,12940540,0,48,167,67,29,112,40.9,217
196,12338218,0,52,183,86,11,87,40.0,47
197,11860761,0,40,192,98,24,99,40.4,139
198,15359537,0,28,193,93,17,94,40.4,74
199,16364264,0,24,182,78,28,105,40.8,154
200,11844111,0,33,192,98,10,97,39.8,52
201,10907293,0,34,192,99,15,97,40.1,79
202,12870966,0,40,181,84,17,99,40.4,94
203,17244789,0,22,193,85,28,116,41.0,202
204,11185950,0,66,164,75,27,114,40.7,238
205,15381308,0,42,182,82,19,103,40.2,117
206,16193075,0,42,209,111,7,83,39.5,26
207,19166163,0,64,203,97,23,106,40.7,184
208,11718003,0,24,189,91,1,78,37.7,2
209,17985735,0,26,182,83,27,107,41.0,162
210,10377282,0,51,190,94,21,105,40.4,150
211,15694837,0,48,185,88,15,103,40.0,99
212,19318394,0,76,193,103,18,95,40.3,127
213,19941237,0,20,177,79,5,84,38.9,11
214,19326172,0,22,167,73,18,94,40.7,66
215,13422365,0,44,180,84,11,91,39.5,49
216,12961279,0,49,179,79,7,95,39.5,37
217,18742025,0,75,186,84,29,107,41.1,243
218,11589040,0,68,166,75,28,112,40.8,241
219,19783354,0,23,179,81,26,112,40.6,171
220,15351545,0,79,198,96,9,87,39.7,52
221,12132600,0,43,201,104,28,103,40.7,187
222,13079051,0,75,199,103,28,123,40.5,314
223,10352361,0,64,178,82,25,111,40.8,211
224,11626397,0,36,190,95,7,83,39.5,22
225,13744758,0,59,191,92,30,110,41.0,247
226,15704485,0,36,206,103,5,84,39.0,17
227,12219500,0,56,188,90,10,91,39.7,52
228,18147320,0,75,172,74,10,98,39.7,68
229,19057565,0,48,176,84,17,89,40.4,74
230,16697741,0,62,185,91,24,97,40.6,154
231,11217409,0,47,187,89,17,97,39.9,96
232,11023789,0,39,188,91,13,101,39.8,77
233,15162283,0,38,201,104,21,101,40.6,129
234,15281529,0,51,182,81,28,106,40.9,197
235,13550814,0,30,193,92,13,104,40.3,77
236,17844052,0,47,182,82,27,100,40.7,161
237,19287036,0,41,188,91,20,106,40.5,135
238,14893331,0,61,179,77,11,90,40.0,55
239,12514678,0,38,169,71,10,84,39.8,29
240,16685296,0,21,185,88,12,97,39.9,52
241,10986379,0,48,183,81,21,94,40.6,106
242,12209289,0,71,183,80,6,84,39.0,28
243,10374360,0,73,199,97,22,107,40.9,189
244,18109896,0,49,185,93,22,99,40.5,135
245,10658315,0,55,178,79,4,97,38.7,23
246,16614243,0,20,182,74,12,80,39.9,17
247,14876896,0,25,198,96,5,85,39.1,15
248,14351379,0,22,163,65,9,92,40.0,29
249,14503730,0,30,195,92,30,101,41.0,165
250,12810704,0,21,206,105,15,96,40.1,69
251,17928110,0,26,180,81,7,92,39.5,26
252,16245947,0,44,175,80,5,91,39.2,22
253,15409745,0,24,177,83,4,83,39.3,9
254,11889909,0,35,187,91,15,95,40.3,72
255,11023601,0,21,189,94,25,111,40.6,165
256,13200163,0,26,181,82,29,105,41.0,165
257,10466078,0,27,182,81,18,105,40.5,103
258,17837201,0,25,188,89,6,92,39.6,23
259,11082105,0,34,182,80,29,120,40.7,240
260,18509951,0,63,203,115,14,106,40.0,117
261,19386173,0,62,191,96,2,85,38.2,9
262,19057536,0,27,174,79,8,102,39.7,42
263,15596079,0,55,179,79,24,110,40.6,187
264,17437832,0,36,173,75,16,94,40.4,70
265,15350635,0,20,170,71,9,83,39.8,17
266,19447279,0,43,185,83,28,108,40.9,195
267,11037310,0,22,184,82,14,87,39.9,39
268,17386243,0,67,155,64,6,88,38.9,28
269,17568474,0,25,195,100,16,93,40.3,68
270,12553644,0,49,181,81,16,97,40.2,89
271,16427125,0,27,180,80,28,111,41.2,185
272,16489177,0,21,183,77,13,92,40.2,44
273,11952276,0,22,191,88,21,103,40.4,112
274,18146668,0,55,192,91,10,81,39.8,37
275,11529339,0,22,182,82,9,86,39.8,24
276,17327058,0,58,203,101,15,101,40.1,106
277,10712255,0,45,194,103,14,85,39.9,57
278,11647949,0,62,195,99,18,97,40.3,119
279,12242593,0,23,173,73,23,100,40.7,106
280,17167096,0,31,184,90,25,106,41.0,156
281,12398043,0,53,199,98,14,92,40.4,75
282,15869217,0,73,189,89,18,99,40.6,130
283,15148449,0,40,177,83,22,99,40.5,121
284,12355386,0,33,162,67,13,94,40.3,53
285,17570700,0,48,170,72,6,90,39.0,26
286,14210556,0,43,192,95,18,93,40.5,90
287,11031105,0,48,174,75,16,99,40.7,91
288,18517438,0,34,186,87,17,95,40.3,79
289,14807514,0,60,184,84,4,85,39.3,17
290,18818959,0,34,194,96,19,101,40.5,110
291,11682404,0,38,181,82,25,107,40.8,164
292,19330869,0,43,179,83,5,81,39.5,15
293,15546601,0,76,189,99,12,96,40.2,85
294,10425714,0,37,179,79,23,101,40.6,128
295,18936440,0,23,195,98,14,94,40.2,59
296,17396723,0,21,205,108,2,84,37.9,6
297,14150444,0,43,199,106,28,107,40.7,205
298,10326650,0,43,184,89,4,91,38.7,18
299,16735987,0,73,190,94,7,92,39.3,44
300,16154968,0,42,198,104,26,103,41.3,172
301,17734647,0,22,186,76,6,82,39.5,11
302,11814565,0,28,176,77,25,96,40.9,108
303,19531492,0,26,201,104,10,88,39.7,36
304,14513854,0,59,167,72,4,89,38.7,19
305,12989515,0,22,171,77,2,81,38.6,4
306,14839482,0,68,186,98,28,105,41.1,226
307,11729396,0,31,186,94,7,92,39.7,30
308,11127484,0,24,178,78,22,102,40.7,111
309,16208945,0,58,172,75,27,107,40.7,199
310,12945677,0,63,200,98,28,105,40.9,219
311,14739798,0,77,176,82,21,102,39.9,162
312,14908200,0,49,188,85,25,110,40.5,190
313,13628657,0,26,189,91,30,108,40.7,190
314,14759700,0,62,181,87,22,97,40.6,139
315,13889235,0,37,185,87,11,96,39.5,55
316,11210225,0,49,186,86,9,95,39.4,48
317,15183212,0,32,198,99,24,107,40.4,160
318,19007638,0,59,178,75,25,105,41.2,178
319,18904172,0,44,184,85,9,85,39.6,32
320,14727757,0,68,190,99,14,92,40.3,86
321,15688519,0,58,184,84,16,97,40.3,97
322,14525296,0,32,184,80,28,117,40.7,217
323,13531444,0,34,192,93,21,91,40.6,88
324,11505365,0,24,168,68,12,92,39.8,40
325,13804351,0,76,192,103,25,100,40.4,195
326,17178684,0,65,163,69,10,91,39.9,52
327,17169981,0,29,173,71,4,81,39.1,8
328,13293552,0,20,178,81,26,104,40.8,136
329,12004059,0,33,187,90,6,86,39.1,20
330,14743686,0,34,174,72,26,103,40.7,144
331,13602949,0,28,184,85,8,94,39.4,34
332,18594088,0,20,184,84,1,76,37.8,1
333,17461948,0,32,196,96,28,110,40.9,197
334,14604646,0,67,188,90,15,106,40.3,120
335,17332364,0,62,207,105,9,88,39.7,48
336,14589218,0,46,201,96,25,108,40.3,185
337,16684195,0,79,191,91,8,90,39.6,49
338,15254554,0,41,186,87,14,100,40.3,81
339,16463021,0,38,170,77,19,112,40.3,137
340,13101491,0,28,189,84,24,98,40.6,115
341,17390229,0,31,189,84,19,98,40.6,93
342,17252426,0,48,193,93,8,87,39.5,34
343,18795135,0,41,179,80,26,106,40.6,170
344,14978264,0,71,201,103,6,92,39.1,38
345,18747756,0,34,184,88,5,82,39.1,14
346,15592605,0,42,167,76,29,108,40.6,197
347,19230637,0,35,187,92,19,100,40.5,106
348,14175143,0,64,172,73,22,102,40.5,151
349,18190914,0,24,188,91,23,101,40.8,119
350,16994274,0,49,169,80,3,82,38.4,10
351,19017641,0,32,184,81,19,99,40.2,96
352,13269063,0,78,176,80,13,98,40.1,92
353,12404748,0,68,195,98,21,105,40.4,169
354,19889686,0,47,200,108,15,98,40.2,93
355,15607712,0,51,198,94,17,87,40.1,75
356,14469039,0,23,180,75,8,88,39.4,23
357,17475598,0,70,191,98,4,83,39.1,19
358,19044146,0,53,189,94,11,88,40.0,52
359,15464679,0,28,184,84,16,98,40.1,76
360,10491902,0,26,194,92,22,104,40.6,127
361,16058577,0,24,212,105,9,90,39.8,34
362,11194446,0,30,194,94,13,93,40.2,56
363,14980446,0,21,182,87,22,107,40.6,129
364,13124043,0,35,186,86,10,93,39.8,44
365,12030616,0,56,201,105,11,94,39.7,66
366,15048165,0,42,183,82,15,98,40.4,81
367,17388343,0,28,179,83,2,79,38.1,4
368,14503274,0,49,198,102,17,100,40.5,110
369,17077938,0,28,180,79,9,93,39.6,35
370,17280595,0,56,196,94,5,86,39.0,23
371,16091848,0,38,198,96,27,95,40.6,137
372,19330010,0,73,183,90,21,94,40.5,136
373,16312785,0,48,183,91,24,102,40.4,156
374,13645476,0,43,178,82,16,102,40.0,97
375,12302947,0,20,172,71,18,99,40.3,77
376,12935967,0,22,184,85,28,105,40.6,156
377,17021929,0,50,191,95,11,93,40.1,58
378,12072919,0,46,184,89,10,95,39.9,53
379,12000110,0,20,172,76,19,106,40.3,103
380,17014420,0,68,196,98,22,101,40.1,164
381,10654238,0,50,172,73,13,98,40.1,73
382,11341181,0,24,166,71,2,78,38.2,3
383,10753894,0,34,196,103,17,96,40.4,88
384,10097220,0,40,167,66,6,87,39.1,20
385,16913565,0,46,177,83,20,98,41.0,112
386,14978910,0,35,186,92,24,99,40.9,130
387,15182279,0,21,199,100,21,98,40.6,100
388,16468967,0,46,180,83,6,86,39.6,23
389,12659452,0,21,196,92,14,95,40.0,58
390,12868053,0,26,180,75,4,77,39.2,5
391,16252432,0,63,176,79,12,90,39.8,62
392,15039984,0,68,205,106,23,107,40.5,196
393,14178497,0,56,182,87,16,91,39.9,82
394,16270792,0,21,173,78,28,108,40.7,163
395,15708155,0,20,173,73,25,99,40.7,108
396,13681001,0,25,194,97,18,99,40.4,91
397,13228655,0,46,175,80,21,97,40.5,113
398,17863685,0,24,187,87,5,82,39.2,11
399,14272817,0,43,178,83,13,83,40.3,42
400,10500591,0,65,172,80,14,96,39.9,86
401,15927085,0,59,199,104,20,102,40.5,146
402,11858495,0,28,192,94,10,85,39.7,30
403,14525242,0,31,202,98,14,97,40.3,71
404,15046022,0,38,176,77,2,80,38.6,5
405,10910225,0,54,195,100,9,82,39.6,36
406,12720868,0,31,193,97,15,92,40.5,64
407,16969672,0,73,167,69,29,109,40.8,240
408,15028308,0,39,164,73,22,97,40.5,108
409,17100459,0,26,193,87,5,87,39.2,15
410,18903525,0,58,191,91,10,91,39.6,53
411,18088844,0,79,202,108,18,99,41.0,142
412,19954897,0,60,181,92,3,88,38.8,15
413,14386991,0,53,182,81,5,84,39.3,19
414,14863545,0,26,185,85,3,86,39.1,9
415,15511586,0,23,179,83,3,91,38.6,10
416,12871421,0,20,175,78,24,107,40.5,135
417,18057181,0,32,168,73,30,111,40.7,201
418,10058690,0,61,197,104,28,108,41.1,232
419,18871900,0,27,187,92,13,92,40.0,52
420,12769000,0,38,177,77,26,113,41.1,192
421,10131926,0,21,187,84,27,97,40.8,116
422,17046316,0,38,182,77,21,102,40.5,120
423,11896131,0,46,180,83,2,90,38.0,9
424,19460187,0,49,193,97,3,84,38.5,12
425,19354925,0,33,181,82,4,89,38.6,14
426,11443833,0,35,191,90,24,108,40.3,162
427,18272188,0,32,202,99,27,115,40.5,212
428,11345999,0,58,190,87,23,98,40.9,145
429,17072398,0,20,182,82,20,92,40.2,69
430,19713210,0,58,198,96,12,92,39.7,67
431,14160023,0,27,174,75,21,106,40.6,120
432,10341991,0,46,181,82,24,104,41.0,156
433,10363700,0,66,188,98,26,114,40.7,242
434,14838024,0,30,177,82,28,107,40.7,173
435,13719219,0,74,184,87,20,101,40.5,150
436,13806865,0,43,190,98,17,107,40.2,122
437,14611370,0,40,181,91,29,111,41.0,216
438,10361640,0,32,193,96,21,111,40.8,151
439,12017526,0,51,177,76,1,76,37.8,2
440,14106041,0,65,158,63,19,97,40.3,113
441,18893096,0,35,194,91,23,112,41.0,170
442,16929000,0,32,187,90,7,90,39.4,27
443,16539107,0,57,184,78,3,71,39.0,6
444,10463486,0,23,194,97,15,101,40.0,79
445,10034058,0,79,172,75,11,89,40.1,62
446,12133833,0,35,174,76,12,97,40.2,57
447,18175714,0,35,182,89,24,108,40.8,161
448,17923841,0,65,198,96,5,85,39.1,24
449,10502259,0,22,173,79,29,115,40.7,201
450,11598389,0,21,187,92,4,81,38.5,8
451,16405106,0,23,191,86,29,115,40.9,207
452,16724437,0,33,170,76,20,100,40.4,103
453,13230524,0,38,182,85,8,84,39.8,25
454,13440939,0,27,192,90,16,88,39.8,54
455,19906933,0,53,179,84,14,93,40.0,73
456,10196677,0,32,173,77,16,97,40.0,75
457,13848583,0,28,182,76,21,107,40.6,125
458,12690065,0,26,187,91,15,95,40.1,66
459,15764363,0,25,198,97,11,92,39.9,44
460,19509994,0,45,177,81,19,102,40.4,116
461,17312164,0,78,193,96,15,83,40.5,78
462,17930508,0,49,176,76,5,84,39.2,18
463,17385529,0,60,207,114,1,87,37.7,5
464,16333757,0,32,170,73,19,99,40.5,93
465,17619111,0,73,187,96,2,91,38.0,12
466,16428584,0,76,177,84,7,84,39.1,35
467,17301298,0,23,180,73,26,105,41.1,139
468,16154164,0,22,198,97,1,79,37.5,2
469,15768703,0,27,189,87,3,79,38.7,6
470,16031078,0,60,187,87,13,82,40.2,52
471,18566703,0,52,183,84,30,112,41.0,241
472,11678057,0,23,196,88,16,105,40.2,91
473,18447804,0,27,179,84,15,96,40.2,66
474,13964681,0,36,174,75,23,98,40.5,114
475,10562379,0,29,188,86,4,85,39.1,12
476,16897876,0,64,175,83,4,83,38.9,17
477,12808543,0,63,179,82,16,86,40.2,74
478,11769784,0,70,190,99,18,97,40.5,125
479,18481194,0,64,169,79,27,96,40.5,165
480,18165149,0,31,182,87,22,94,40.5,96
481,10530197,0,27,189,93,16,95,40.3,71
482,16994106,0,27,197,92,3,85,38.6,9
483,18591421,0,20,184,78,18,87,40.1,47
484,15814407,0,54,195,100,25,106,40.7,189
485,14353562,0,42,196,93,14,93,40.0,68
486,13396008,0,43,174,78,11,94,39.8,52
487,13685979,0,52,171,78,5,86,39.2,20
488,14912530,0,40,177,81,8,83,39.6,24
489,12790385,0,62,178,85,16,99,40.6,105
490,17483493,0,29,186,91,8,84,39.6,23
491,14806334,0,73,190,95,10,97,39.4,70
492,16636721,0,37,195,99,6,82,39.1,19
493,10413805,0,25,184,82,10,88,39.9,31
494,13481966,0,29,190,84,21,102,40.4,114
495,18648123,0,35,175,80,26,106,40.7,162
496,12006675,0,35,186,83,19,100,40.6,102
497,10260043,0,45,166,74,7,91,39.4,30
498,18331223,0,50,187,81,5,83,39.2,18
499,11874293,0,48,199,110,6,81,39.4,22
500,14267850,0,29,187,91,24,103,40.6,137
501,11483730,0,32,180,86,23,106,40.6,143
502,19069422,0,64,209,112,18,100,40.4,133
503,10699781,0,31,191,98,4,85,38.7,13
504,19623536,0,29,169,72,20,101,40.0,100
505,10530300,0,57,175,76,28,109,40.6,214
506,13251809,0,47,192,93,13,95,40.3,71
507,18278454,0,50,185,83,13,97,40.3,74
508,17277065,0,38,185,91,5,82,39.2,15
509,15906490,0,30,189,95,21,103,40.8,123
510,10554747,0,64,195,99,13,87,40.3,67
511,12530660,0,35,178,79,3,82,38.7,8
512,12263999,0,73,200,106,12,89,40.0,73
513,16435736,0,26,180,88,4,91,38.8,15
514,18476144,0,40,169,70,22,101,40.5,121
515,12793069,0,41,183,85,29,100,41.0,166
516,15330323,0,58,191,99,16,94,40.2,95
517,19743732,0,28,187,88,22,109,40.4,143
518,17503482,0,44,177,83,28,110,41.2,205
519,17164452,0,59,177,81,9,87,39.6,41
520,17551114,0,22,189,86,14,105,40.0,78
521,15987630,0,35,194,95,2,79,38.6,5
522,16509162,0,24,177,81,9,85,39.8,23
523,12421249,0,60,199,107,26,112,40.6,232
524,12429676,0,55,192,91,16,98,40.3,100
525,14414496,0,45,196,94,10,91,39.9,48
526,12964208,0,59,178,86,22,99,40.3,142
527,16871011,0,20,182,80,3,85,39.0,7
528,16807137,0,37,183,88,24,104,40.4,149
529,18036473,0,38,194,101,14,90,39.8,62
530,12619351,0,64,183,89,26,107,40.9,207
531,19125737,0,26,188,81,3,82,38.5,7
532,15417547,0,62,190,95,11,93,40.1,65
533,12609769,0,25,205,110,22,96,40.8,108
534,13460467,0,60,166,69,28,102,40.7,185
535,17926631,0,25,204,107,21,98,40.2,108
536,15019770,0,24,186,90,13,97,39.7,59
537,13053708,0,31,198,99,28,107,40.9,185
538,18147883,0,21,160,68,6,90,39.4,17
539,10662184,0,44,171,80,26,112,40.8,197
540,12768402,0,30,178,84,8,80,39.5,17
541,12694662,0,24,188,90,19,103,40.3,104
542,11962233,0,73,169,72,15,92,40.2,87
543,13218598,0,34,192,99,27,113,40.7,206
544,13044360,0,35,178,82,23,104,40.6,137
545,18813111,0,79,200,108,26,97,40.9,198
546,10424923,0,40,185,87,25,102,40.7,150
547,15492056,0,25,187,80,21,106,40.5,121
548,19245364,0,68,174,78,5,88,39.2,25
549,15091991,0,44,169,77,16,91,40.2,69
550,14180543,0,49,182,85,9,87,39.5,37
551,17911757,0,76,179,85,16,98,40.3,114
552,16821445,0,70,178,80,14,83,40.2,62
553,12734223,0,55,193,98,24,112,40.8,204
554,19896062,0,45,179,80,5,88,39.5,20
555,17191800,0,20,172,72,9,88,39.8,24
556,17352375,0,76,183,85,11,87,40.0,60
557,11923028,0,75,187,92,7,86,39.5,38
558,10264634,0,67,160,66,9,92,40.1,48
559,18282322,0,45,194,97,6,91,39.6,29
560,10285556,0,30,182,84,8,85,39.7,23
561,13851025,0,21,181,79,19,103,40.4,97
562,19872887,0,32,182,83,17,108,40.4,110
563,10211651,0,76,193,104,16,90,40.4,101
564,11972182,0,29,176,73,3,80,38.8,6
565,11371337,0,44,165,70,5,97,39.2,25
566,17220466,0,76,189,99,18,93,40.0,120
567,17081401,0,60,171,71,20,96,40.7,115
568,14556630,0,39,189,93,20,100,40.4,116
569,11526566,0,24,183,82,14,88,40.3,42
570,11569838,0,31,189,88,12,98,40.1,60
571,17486297,0,22,185,80,27,112,40.7,176
572,16644341,0,48,177,85,1,80,38.1,3
573,16048075,0,23,173,78,3,88,38.7,9
574,17859714,0,60,169,70,2,84,38.0,8
575,10344316,0,45,196,102,27,110,41.0,210
576,14474568,0,56,199,101,5,84,39.0,22
577,17177794,0,55,179,81,21,105,40.7,148
578,11473760,0,42,196,101,17,87,40.1,71
